test_id,description,period,variable_1,variable_2,sample_size_total,sample_size_used,pct_missing,contingency_table,chi_square,dof,p_value_raw,p_value_bonferroni_adjusted,significant,cramers_v,effect_size_category,relative_risk,odds_ratio,rr_95ci,or_95ci,interpretation
T001,Road Class × Collision Severity,All,ROAD_CLASS,ACCLASS,18351,17895,2.484878208272029,"{""Fatal"": {""Collector"": 135, ""Expressway"": 29, ""Expressway Ramp"": 6, ""Laneway"": 6, ""Local"": 107, ""Major Arterial"": 1844, ""Major Arterial "": 4, ""Major Shoreline"": 0, ""Minor Arterial"": 385, ""Other"": 0, ""Pending"": 0}, ""Non-Fatal Injury"": {""Collector"": 856, ""Expressway"": 130, ""Expressway Ramp"": 8, ""Laneway"": 5, ""Local"": 725, ""Major Arterial"": 11111, ""Major Arterial "": 9, ""Major Shoreline"": 4, ""Minor Arterial"": 2482, ""Other"": 25, ""Pending"": 7}, ""Property Damage O"": {""Collector"": 0, ""Expressway"": 0, ""Expressway Ramp"": 0, ""Laneway"": 0, ""Local"": 0, ""Major Arterial"": 17, ""Major Arterial "": 0, ""Major Shoreline"": 0, ""Minor Arterial"": 0, ""Other"": 0, ""Pending"": 0}}",44.59993399866668,20,0.0012498974557265481,0.024997949114530963,False,0.03530093908956791,Negligible,,,,,
T002,Traffic Control × Collision Severity,All,TRAFFCTL,ACCLASS,18351,18278,0.39779848509618004,"{""Fatal"": {""No Control"": 1388, ""Pedestrian Crossover"": 27, ""Police Control"": 0, ""School Guard"": 0, ""Stop Sign"": 171, ""Streetcar (Stop for)"": 0, ""Traffic Controller"": 0, ""Traffic Gate"": 3, ""Traffic Signal"": 995, ""Yield Sign"": 0}, ""Non-Fatal Injury"": {""No Control"": 7302, ""Pedestrian Crossover"": 174, ""Police Control"": 2, ""School Guard"": 2, ""Stop Sign"": 1257, ""Streetcar (Stop for)"": 16, ""Traffic Controller"": 105, ""Traffic Gate"": 2, ""Traffic Signal"": 6798, ""Yield Sign"": 19}, ""Property Damage O"": {""No Control"": 15, ""Pedestrian Crossover"": 0, ""Police Control"": 0, ""School Guard"": 0, ""Stop Sign"": 0, ""Streetcar (Stop for)"": 0, ""Traffic Controller"": 0, ""Traffic Gate"": 0, ""Traffic Signal"": 2, ""Yield Sign"": 0}}",85.4224238574921,18,9.483120226615615e-11,1.896624045323123e-09,True,0.04833999607945933,Negligible,,,,,
T003,Accident Location × Collision Severity,All,ACCLOC,ACCLASS,18351,13135,28.42351915426952,"{""Fatal"": {""At Intersection"": 1095, ""At/Near Private Drive"": 22, ""Intersection Related"": 202, ""Laneway"": 2, ""Non Intersection"": 507, ""Other"": 2, ""Overpass or Bridge"": 3, ""Private Driveway"": 0, ""Trail"": 0, ""Underpass or Tunnel"": 2}, ""Non-Fatal Injury"": {""At Intersection"": 7425, ""At/Near Private Drive"": 380, ""Intersection Related"": 1365, ""Laneway"": 10, ""Non Intersection"": 2070, ""Other"": 5, ""Overpass or Bridge"": 11, ""Private Driveway"": 12, ""Trail"": 1, ""Underpass or Tunnel"": 4}, ""Property Damage O"": {""At Intersection"": 0, ""At/Near Private Drive"": 0, ""Intersection Related"": 4, ""Laneway"": 0, ""Non Intersection"": 13, ""Other"": 0, ""Overpass or Bridge"": 0, ""Private Driveway"": 0, ""Trail"": 0, ""Underpass or Tunnel"": 0}}",151.24272838274666,18,4.261079448888345e-23,8.52215889777669e-22,True,0.07587648699280124,Negligible,,,,,
T004,Light Conditions × Collision Severity,All,LIGHT,ACCLASS,18351,18346,0.027246471581930137,"{""Fatal"": {""Dark"": 626, ""Dark, artificial"": 516, ""Dawn"": 18, ""Dawn, artificial"": 22, ""Daylight"": 1311, ""Daylight, artificial"": 14, ""Dusk"": 44, ""Dusk, artificial"": 30, ""Other"": 4}, ""Non-Fatal Injury"": {""Dark"": 2961, ""Dark, artificial"": 2905, ""Dawn"": 90, ""Dawn, artificial"": 77, ""Daylight"": 9147, ""Daylight, artificial"": 134, ""Dusk"": 209, ""Dusk, artificial"": 219, ""Other"": 2}, ""Property Damage O"": {""Dark"": 0, ""Dark, artificial"": 11, ""Dawn"": 0, ""Dawn, artificial"": 2, ""Daylight"": 4, ""Daylight, artificial"": 0, ""Dusk"": 0, ""Dusk, artificial"": 0, ""Other"": 0}}",147.99268736370388,16,1.9424110426275893e-23,3.8848220852551787e-22,True,0.06350887736091665,Negligible,,,,,
T005,Weather Visibility × Collision Severity,All,VISIBILITY,ACCLASS,18351,18326,0.1362323579096507,"{""Fatal"": {""Clear"": 2238, ""Drifting Snow"": 0, ""Fog, Mist, Smoke, Dust"": 6, ""Freezing Rain"": 2, ""Other"": 36, ""Rain"": 248, ""Snow"": 33, ""Strong wind"": 2}, ""Non-Fatal Injury"": {""Clear"": 13584, ""Drifting Snow"": 21, ""Fog, Mist, Smoke, Dust"": 42, ""Freezing Rain"": 43, ""Other"": 58, ""Rain"": 1676, ""Snow"": 312, ""Strong wind"": 8}, ""Property Damage O"": {""Clear"": 10, ""Drifting Snow"": 0, ""Fog, Mist, Smoke, Dust"": 0, ""Freezing Rain"": 0, ""Other"": 0, ""Rain"": 7, ""Snow"": 0, ""Strong wind"": 0}}",78.38712202138595,14,5.6280930289478e-11,1.12561860578956e-09,True,0.0462459303616357,Negligible,,,,,
T006,Road Surface × Collision Severity,All,RDSFCOND,ACCLASS,18351,18321,0.16347882949158085,"{""Fatal"": {""Dry"": 2061, ""Ice"": 3, ""Loose Sand or Gravel"": 0, ""Loose Snow"": 15, ""Other"": 45, ""Packed Snow"": 9, ""Slush"": 7, ""Spilled liquid"": 0, ""Wet"": 420}, ""Non-Fatal Injury"": {""Dry"": 12662, ""Ice"": 74, ""Loose Sand or Gravel"": 11, ""Loose Snow"": 152, ""Other"": 94, ""Packed Snow"": 33, ""Slush"": 92, ""Spilled liquid"": 1, ""Wet"": 2625}, ""Property Damage O"": {""Dry"": 10, ""Ice"": 0, ""Loose Sand or Gravel"": 0, ""Loose Snow"": 0, ""Other"": 0, ""Packed Snow"": 0, ""Slush"": 0, ""Spilled liquid"": 0, ""Wet"": 7}}",64.65465615150305,16,8.446003390519966e-08,1.6892006781039932e-06,True,0.04200590230668082,Negligible,,,,,
T007,Time of Day × Collision Severity,All,TIME_OF_DAY,ACCLASS,18351,18350,0.005449294316386028,"{""Fatal"": {""Unknown"": 2589}, ""Non-Fatal Injury"": {""Unknown"": 15744}, ""Property Damage O"": {""Unknown"": 17}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T008,Day of Week × Collision Severity,All,DAY_NAME,ACCLASS,18351,18350,0.005449294316386028,"{""Fatal"": {""Friday"": 449, ""Monday"": 312, ""Saturday"": 345, ""Sunday"": 322, ""Thursday"": 371, ""Tuesday"": 453, ""Wednesday"": 337}, ""Non-Fatal Injury"": {""Friday"": 2541, ""Monday"": 2134, ""Saturday"": 2217, ""Sunday"": 2147, ""Thursday"": 2164, ""Tuesday"": 2250, ""Wednesday"": 2291}, ""Property Damage O"": {""Friday"": 2, ""Monday"": 3, ""Saturday"": 2, ""Sunday"": 4, ""Thursday"": 4, ""Tuesday"": 2, ""Wednesday"": 0}}",34.21367546316248,12,0.000624134003944442,0.012482680078888841,False,0.030532814109018373,Negligible,,,,,
T009,Season × Collision Severity,All,SEASON,ACCLASS,18351,18350,0.005449294316386028,"{""Fatal"": {""Fall"": 731, ""Spring"": 517, ""Summer"": 769, ""Winter"": 572}, ""Non-Fatal Injury"": {""Fall"": 4415, ""Spring"": 3464, ""Summer"": 4655, ""Winter"": 3210}, ""Property Damage O"": {""Fall"": 13, ""Spring"": 0, ""Summer"": 2, ""Winter"": 2}}",27.727326515758115,6,0.00010574762001012861,0.0021149524002025723,True,0.027486596444096213,Negligible,,,,,
T010,Ward × Collision Severity,All,WARD_DESC,ACCLASS,18351,18350,0.005449294316386028,"{""Fatal"": {""Beaches-East York (19)"": 48, ""Davenport (9)"": 77, ""Don Valley East (16)"": 99, ""Don Valley North (17)"": 64, ""Don Valley West (15)"": 54, ""Eglinton-Lawrence (8)"": 94, ""Etobicoke Centre (2)"": 99, ""Etobicoke North (1)"": 153, ""Etobicoke-Lakeshore (3)"": 129, ""Humber River-Black Creek (7)"": 107, ""Outside Wards"": 16, ""Parkdale-High Park (4)"": 129, ""Scarborough Centre (21)"": 191, ""Scarborough North (23)"": 86, ""Scarborough Southwest (20)"": 169, ""Scarborough-Agincourt (22)"": 130, ""Scarborough-Guildwood (24)"": 93, ""Scarborough-Rouge Park (25)"": 99, ""Spadina-Fort York (10)"": 126, ""Toronto Centre (13)"": 83, ""Toronto-Danforth (14)"": 85, ""Toronto-St. Paul's (12)"": 69, ""University-Rosedale (11)"": 99, ""Willowdale (18)"": 85, ""York Centre (6)"": 133, ""York South-Weston (5)"": 72}, ""Non-Fatal Injury"": {""Beaches-East York (19)"": 486, ""Davenport (9)"": 764, ""Don Valley East (16)"": 384, ""Don Valley North (17)"": 421, ""Don Valley West (15)"": 380, ""Eglinton-Lawrence (8)"": 439, ""Etobicoke Centre (2)"": 582, ""Etobicoke North (1)"": 784, ""Etobicoke-Lakeshore (3)"": 818, ""Humber River-Black Creek (7)"": 538, ""Outside Wards"": 110, ""Parkdale-High Park (4)"": 606, ""Scarborough Centre (21)"": 661, ""Scarborough North (23)"": 639, ""Scarborough Southwest (20)"": 692, ""Scarborough-Agincourt (22)"": 544, ""Scarborough-Guildwood (24)"": 513, ""Scarborough-Rouge Park (25)"": 425, ""Spadina-Fort York (10)"": 1117, ""Toronto Centre (13)"": 760, ""Toronto-Danforth (14)"": 758, ""Toronto-St. Paul's (12)"": 539, ""University-Rosedale (11)"": 872, ""Willowdale (18)"": 484, ""York Centre (6)"": 672, ""York South-Weston (5)"": 756}, ""Property Damage O"": {""Beaches-East York (19)"": 0, ""Davenport (9)"": 0, ""Don Valley East (16)"": 0, ""Don Valley North (17)"": 0, ""Don Valley West (15)"": 2, ""Eglinton-Lawrence (8)"": 0, ""Etobicoke Centre (2)"": 0, ""Etobicoke North (1)"": 2, ""Etobicoke-Lakeshore (3)"": 0, ""Humber River-Black Creek (7)"": 0, ""Outside Wards"": 0, ""Parkdale-High Park (4)"": 2, ""Scarborough Centre (21)"": 0, ""Scarborough North (23)"": 3, ""Scarborough Southwest (20)"": 2, ""Scarborough-Agincourt (22)"": 0, ""Scarborough-Guildwood (24)"": 0, ""Scarborough-Rouge Park (25)"": 0, ""Spadina-Fort York (10)"": 0, ""Toronto Centre (13)"": 0, ""Toronto-Danforth (14)"": 0, ""Toronto-St. Paul's (12)"": 0, ""University-Rosedale (11)"": 2, ""Willowdale (18)"": 0, ""York Centre (6)"": 4, ""York South-Weston (5)"": 0}}",293.02996612987346,50,4.313469207590069e-36,8.626938415180139e-35,True,0.08935584895214417,Negligible,,,,,
T011,District × Collision Severity,All,DISTRICT,ACCLASS,18351,18126,1.2260912211868562,"{""Fatal"": {""Etobicoke York"": 604, ""North York"": 563, ""Scarborough"": 763, ""Toronto and East York"": 647}, ""Non-Fatal Injury"": {""Etobicoke York"": 3578, ""North York"": 3110, ""Scarborough"": 3354, ""Toronto and East York"": 5490}, ""Property Damage O"": {""Etobicoke York"": 4, ""North York"": 6, ""Scarborough"": 5, ""Toronto and East York"": 2}}",139.2997345789397,6,1.40840213837501e-27,2.8168042767500204e-26,True,0.061988219014271456,Negligible,,,,,
T012,Pedestrian Involvement × Road Class,All,PEDESTRIAN,ROAD_CLASS,18351,7492,59.17388698163588,"{""Collector"": {""Yes"": 429}, ""Expressway"": {""Yes"": 26}, ""Expressway Ramp"": {""Yes"": 6}, ""Laneway"": {""Yes"": 8}, ""Local"": {""Yes"": 424}, ""Major Arterial"": {""Yes"": 5443}, ""Major Arterial "": {""Yes"": 5}, ""Minor Arterial"": {""Yes"": 1139}, ""Other"": {""Yes"": 10}, ""Pending"": {""Yes"": 2}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T013,Pedestrian Involvement × Traffic Control,All,PEDESTRIAN,TRAFFCTL,18351,7533,58.95046591466405,"{""No Control"": {""Yes"": 3452}, ""Pedestrian Crossover"": {""Yes"": 154}, ""Police Control"": {""Yes"": 2}, ""School Guard"": {""Yes"": 2}, ""Stop Sign"": {""Yes"": 493}, ""Streetcar (Stop for)"": {""Yes"": 16}, ""Traffic Controller"": {""Yes"": 22}, ""Traffic Gate"": {""Yes"": 5}, ""Traffic Signal"": {""Yes"": 3377}, ""Yield Sign"": {""Yes"": 10}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T014,Pedestrian Involvement × Light Conditions,All,PEDESTRIAN,LIGHT,18351,7559,58.80878426243802,"{""Dark"": {""Yes"": 1554}, ""Dark, artificial"": {""Yes"": 1536}, ""Dawn"": {""Yes"": 44}, ""Dawn, artificial"": {""Yes"": 64}, ""Daylight"": {""Yes"": 4042}, ""Daylight, artificial"": {""Yes"": 67}, ""Dusk"": {""Yes"": 116}, ""Dusk, artificial"": {""Yes"": 134}, ""Other"": {""Yes"": 2}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T015,Pedestrian Involvement × Time of Day,All,PEDESTRIAN,TIME_OF_DAY,18351,7563,58.78698708517247,"{""Unknown"": {""Yes"": 7563}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T016,Cyclist Involvement × Road Class,All,CYCLIST,ROAD_CLASS,18351,1962,89.30848455125061,"{""Collector"": {""Yes"": 134}, ""Local"": {""Yes"": 112}, ""Major Arterial"": {""Yes"": 1274}, ""Major Arterial "": {""Yes"": 3}, ""Major Shoreline"": {""Yes"": 1}, ""Minor Arterial"": {""Yes"": 438}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T017,Cyclist Involvement × Traffic Control,All,CYCLIST,TRAFFCTL,18351,1964,89.29758596261784,"{""No Control"": {""Yes"": 897}, ""Pedestrian Crossover"": {""Yes"": 13}, ""Stop Sign"": {""Yes"": 239}, ""Streetcar (Stop for)"": {""Yes"": 4}, ""Traffic Controller"": {""Yes"": 14}, ""Traffic Signal"": {""Yes"": 797}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T018,Cyclist Involvement × Weather Visibility,All,CYCLIST,VISIBILITY,18351,1970,89.26489019671952,"{""Clear"": {""Yes"": 1824}, ""Drifting Snow"": {""Yes"": 2}, ""Other"": {""Yes"": 9}, ""Rain"": {""Yes"": 131}, ""Snow"": {""Yes"": 4}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T019,Vulnerable Road User × Road Class,All,VULNERABLE_ROAD_USER,ROAD_CLASS,18351,17896,2.4794289139556427,"{""Collector"": {""No"": 428, ""Yes"": 563}, ""Expressway"": {""No"": 133, ""Yes"": 26}, ""Expressway Ramp"": {""No"": 8, ""Yes"": 6}, ""Laneway"": {""No"": 3, ""Yes"": 8}, ""Local"": {""No"": 298, ""Yes"": 534}, ""Major Arterial"": {""No"": 6286, ""Yes"": 6686}, ""Major Arterial "": {""No"": 5, ""Yes"": 8}, ""Major Shoreline"": {""No"": 3, ""Yes"": 1}, ""Minor Arterial"": {""No"": 1297, ""Yes"": 1571}, ""Other"": {""No"": 15, ""Yes"": 10}, ""Pending"": {""No"": 5, ""Yes"": 2}}",154.06073248655795,10,5.437703287680931e-28,1.0875406575361862e-26,True,0.09278291090749616,Negligible,,,,,
T020,Vulnerable Road User × Light Conditions,All,VULNERABLE_ROAD_USER,LIGHT,18351,18347,0.021797177265544112,"{""Dark"": {""No"": 1808, ""Yes"": 1779}, ""Dark, artificial"": {""No"": 1635, ""Yes"": 1797}, ""Dawn"": {""No"": 60, ""Yes"": 48}, ""Dawn, artificial"": {""No"": 28, ""Yes"": 73}, ""Daylight"": {""No"": 5095, ""Yes"": 5367}, ""Daylight, artificial"": {""No"": 57, ""Yes"": 92}, ""Dusk"": {""No"": 93, ""Yes"": 160}, ""Dusk, artificial"": {""No"": 77, ""Yes"": 172}, ""Other"": {""No"": 4, ""Yes"": 2}}",77.46477076123647,8,1.580737557676134e-13,3.161475115352268e-12,True,0.06497848622053545,Negligible,,,,,
